id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price,age,price_per_sqrt,swimming_ful,garden
37,Pimpri-Chinchwad,3235,3,3,2004,Yes,7505409,21,2320.064606,No,Yes
38,Kalyani Nagar,1769,2,1,2019,Yes,9995720,6,5650.491803,No,Yes
39,Koregaon Park,831,5,2,2005,Yes,9195177,20,11065.19495,No,Yes
40,Hinjewadi,3071,5,2,2008,Yes,4233676,17,1378.598502,No,No
41,Viman Nagar,2547,5,2,2015,No,4668387,10,1832.896349,No,No
42,Koregaon Park,1585,5,1,1999,Yes,5453204,26,3440.507256,No,Yes
43,Viman Nagar,2786,5,1,2018,No,4492563,7,1612.549533,No,No
44,Hinjewadi,1509,2,1,2005,Yes,8021249,20,5315.605699,No,Yes
45,Hinjewadi,3496,4,2,1985,Yes,4668454,40,1335.370137,No,No
46,Koregaon Park,1081,1,3,1985,No,4033612,40,3731.370953,No,No
47,Hinjewadi,2441,5,2,1983,No,11988816,42,4911.436297,Yes,Yes
48,Kalyani Nagar,2767,1,3,2018,Yes,14219214,7,5138.855801,Yes,Yes
49,Hinjewadi,3122,1,3,1994,Yes,10857794,31,3477.832799,Yes,Yes
50,Viman Nagar,1637,3,3,1992,No,11361345,33,6940.345144,Yes,Yes
51,Viman Nagar,929,4,1,1989,Yes,8691688,36,9355.961249,No,Yes
52,Viman Nagar,2619,1,3,1990,No,9082502,35,3467.927453,No,Yes
53,Viman Nagar,2959,4,2,1986,No,6220141,39,2102.109158,No,Yes
54,Kalyani Nagar,2029,4,2,2012,No,14038219,13,6918.787087,Yes,Yes
55,Pimpri-Chinchwad,2772,1,1,2012,No,11948701,13,4310.498196,Yes,Yes
56,Koregaon Park,2972,5,2,1985,No,7302556,40,2457.118439,No,Yes
57,Viman Nagar,1062,3,3,2000,No,13598980,25,12805.06591,Yes,Yes
58,Hinjewadi,1155,5,3,2014,No,6888593,11,5964.149784,No,Yes
59,Viman Nagar,1620,2,1,2009,Yes,2420717,16,1494.269753,No,No
60,Hinjewadi,1307,1,1,2009,No,3264996,16,2498.084162,No,No
61,Hinjewadi,2030,3,3,1997,Yes,12362275,28,6089.79064,Yes,Yes
62,Viman Nagar,3353,3,2,1989,Yes,9183562,36,2738.909037,No,Yes
63,Kalyani Nagar,3300,4,1,2013,No,6660280,12,2018.266667,No,Yes
64,Hinjewadi,1013,3,3,1994,No,8026041,31,7923.041461,No,Yes
65,Hinjewadi,2476,2,1,2003,No,13777871,22,5564.568255,Yes,Yes
66,Viman Nagar,2149,5,2,1983,No,11472523,42,5338.540251,Yes,Yes
67,Hinjewadi,1100,1,1,2015,No,13685397,10,12441.27,Yes,Yes
68,Hinjewadi,1673,1,1,1999,Yes,4369957,26,2612.048416,No,No
69,Viman Nagar,2177,4,2,1989,Yes,2783913,36,1278.784107,No,No
70,Viman Nagar,2081,1,1,1992,Yes,12371631,33,5945.041326,Yes,Yes
71,Koregaon Park,3240,1,2,2009,Yes,10902827,16,3365.070062,Yes,Yes
72,Kalyani Nagar,1203,1,3,2008,No,10359246,17,8611.177057,Yes,Yes
73,Kalyani Nagar,1641,5,1,1988,Yes,10163570,37,6193.522243,Yes,Yes
74,Hinjewadi,2676,5,1,2000,Yes,5135273,25,1919.010837,No,Yes
75,Kalyani Nagar,1564,2,3,2019,No,11489889,6,7346.476343,Yes,Yes
76,Hinjewadi,987,4,1,1981,No,13036560,44,13208.26748,Yes,Yes
77,Koregaon Park,3498,1,3,2020,No,4910449,5,1403.787593,No,No
78,Viman Nagar,1159,5,2,2013,Yes,3201379,12,2762.190682,No,No
79,Viman Nagar,3124,4,2,2003,No,8831299,22,2826.920294,No,Yes
80,Viman Nagar,1521,5,2,1990,Yes,3725167,35,2449.156476,No,No
81,Kalyani Nagar,3331,2,3,2019,Yes,2330370,6,699.6007205,No,No
82,Koregaon Park,2193,4,2,2015,No,3453326,10,1574.704058,No,No
83,Kalyani Nagar,2485,1,2,1991,Yes,4682870,34,1884.454728,No,No
84,Kalyani Nagar,2529,5,3,1994,Yes,5290497,31,2091.932384,No,Yes
85,Koregaon Park,2022,1,2,2007,Yes,10356675,18,5121.995549,Yes,Yes
86,Koregaon Park,1731,1,3,2020,Yes,9731464,5,5621.874061,No,Yes
87,Koregaon Park,1969,4,3,1995,No,13207434,30,6707.686135,Yes,Yes
88,Koregaon Park,1978,2,1,2000,No,2536880,25,1282.548028,No,No
89,Viman Nagar,873,2,2,2017,No,10680612,8,12234.37801,Yes,Yes
90,Pimpri-Chinchwad,2568,1,2,2005,Yes,12141244,20,4727.898754,Yes,Yes
91,Pimpri-Chinchwad,1918,2,1,1994,No,5845037,31,3047.464546,No,Yes
92,Koregaon Park,3183,2,1,1994,No,11728321,31,3684.675149,Yes,Yes
93,Pimpri-Chinchwad,2098,1,1,2004,No,13985114,21,6665.926597,Yes,Yes
94,Pimpri-Chinchwad,2137,3,2,1997,Yes,14595689,28,6829.990173,Yes,Yes
95,Koregaon Park,2320,4,3,2011,No,8489146,14,3659.114655,No,Yes
96,Pimpri-Chinchwad,2496,1,2,2001,Yes,11048085,24,4426.316106,Yes,Yes
97,Kalyani Nagar,2652,3,1,1992,No,3573432,33,1347.447964,No,No
98,Hinjewadi,2956,1,2,1996,Yes,12923198,29,4371.85318,Yes,Yes
99,Hinjewadi,2339,3,2,1985,Yes,2342056,40,1001.306541,No,No
100,Koregaon Park,1080,1,2,1995,No,5224836,30,4837.811111,No,Yes
101,Viman Nagar,856,3,1,1986,No,2801599,39,3272.896028,No,No
102,Koregaon Park,3172,2,3,1994,Yes,6996758,31,2205.787516,No,Yes
103,Viman Nagar,890,5,3,2012,No,14061670,13,15799.62921,Yes,Yes
104,Hinjewadi,803,2,3,2005,Yes,6730561,20,8381.769614,No,Yes
105,Koregaon Park,1332,2,1,2010,No,13488392,15,10126.42042,Yes,Yes
106,Kalyani Nagar,1214,1,1,1989,No,7607709,36,6266.646623,No,Yes
107,Pimpri-Chinchwad,1435,3,3,2004,No,6492018,21,4524.054355,No,Yes
108,Viman Nagar,2032,2,3,1991,Yes,2856857,34,1405.933563,No,No
109,Pimpri-Chinchwad,1062,4,1,2001,No,3304704,24,3111.774011,No,No
110,Pimpri-Chinchwad,1544,1,2,1985,No,9545489,40,6182.311528,No,Yes
111,Koregaon Park,2426,1,1,1981,Yes,11465994,44,4726.29596,Yes,Yes
112,Pimpri-Chinchwad,2448,1,3,2011,Yes,5110490,14,2087.618464,No,Yes
113,Kalyani Nagar,2962,3,3,2006,Yes,7090538,19,2393.834571,No,Yes
114,Pimpri-Chinchwad,3244,4,3,1982,Yes,2001103,43,616.8628237,No,No
115,Koregaon Park,1110,5,3,2001,No,7014778,24,6319.61982,No,Yes
116,Kalyani Nagar,1406,3,3,2001,Yes,4548638,24,3235.162162,No,No
117,Hinjewadi,2531,3,2,2023,Yes,13366671,2,5281.181746,Yes,Yes
118,Pimpri-Chinchwad,2344,2,3,2018,No,3148498,7,1343.21587,No,No
119,Koregaon Park,908,1,2,1996,Yes,8399125,29,9250.137665,No,Yes
120,Hinjewadi,3133,5,3,2001,Yes,6436181,24,2054.318864,No,Yes
121,Hinjewadi,3319,4,1,2018,No,7114000,7,2143.416692,No,Yes
122,Viman Nagar,1167,3,2,1998,No,5445885,27,4666.568123,No,Yes
123,Kalyani Nagar,1929,1,2,1980,No,2929575,45,1518.7014,No,No
124,Pimpri-Chinchwad,860,3,3,2001,Yes,9757323,24,11345.72442,No,Yes
125,Koregaon Park,2914,5,1,1987,Yes,7541592,38,2588.054907,No,Yes
126,Viman Nagar,1172,1,2,2020,No,9621114,5,8209.141638,No,Yes
127,Kalyani Nagar,3094,2,3,2011,Yes,14801988,14,4784.094376,Yes,Yes
128,Viman Nagar,1222,1,3,1994,No,4408877,31,3607.918985,No,No
129,Kalyani Nagar,3115,4,1,2014,No,14085503,11,4521.830819,Yes,Yes
130,Kalyani Nagar,1137,1,1,2022,Yes,3953614,3,3477.233069,No,No
131,Pimpri-Chinchwad,2276,2,1,1996,Yes,8897115,29,3909.101494,No,Yes
132,Kalyani Nagar,1412,5,2,1988,Yes,8447594,37,5982.715297,No,Yes
133,Viman Nagar,3262,4,1,2018,Yes,14161300,7,4341.293685,Yes,Yes
134,Kalyani Nagar,2831,5,3,2020,No,12735271,5,4498.506182,Yes,Yes
135,Pimpri-Chinchwad,3381,5,2,1996,No,5808013,29,1717.838805,No,Yes
136,Pimpri-Chinchwad,1316,2,1,1998,Yes,9851051,27,7485.601064,No,Yes
137,Viman Nagar,2931,2,1,2021,No,6145957,4,2096.880587,No,Yes
138,Hinjewadi,2842,1,2,2018,Yes,6704641,7,2359.127727,No,Yes
139,Hinjewadi,1135,4,2,2011,Yes,10777173,14,9495.306608,Yes,Yes
140,Kalyani Nagar,2027,1,1,2015,No,8155434,10,4023.401085,No,Yes
141,Koregaon Park,3318,1,3,1986,Yes,4016390,39,1210.485232,No,No
142,Kalyani Nagar,863,4,2,1992,Yes,8088673,33,9372.738123,No,Yes
143,Viman Nagar,3101,2,2,2006,Yes,12154814,19,3919.643341,Yes,Yes
144,Viman Nagar,2232,1,3,1982,No,3563674,43,1596.628136,No,No
145,Viman Nagar,2460,1,1,1991,Yes,11362083,34,4618.732927,Yes,Yes
146,Viman Nagar,1183,5,2,1988,No,3402031,37,2875.76585,No,No
147,Viman Nagar,2945,3,3,1989,No,2929919,36,994.8791171,No,No
148,Pimpri-Chinchwad,924,4,1,2002,No,6967989,23,7541.113636,No,Yes
149,Hinjewadi,2951,1,1,1988,Yes,10581854,37,3585.853609,Yes,Yes
150,Viman Nagar,3379,2,2,2023,No,12306327,2,3642.002664,Yes,Yes
151,Koregaon Park,3490,3,3,2000,No,14763269,25,4230.163037,Yes,Yes
152,Koregaon Park,1247,2,3,1985,No,13865567,40,11119.13953,Yes,Yes
153,Koregaon Park,1702,1,1,1998,No,7216968,27,4240.286722,No,Yes
154,Koregaon Park,1058,2,3,2023,Yes,3059439,2,2891.719282,No,No
155,Pimpri-Chinchwad,2762,2,2,2003,Yes,3559093,22,1288.592686,No,No
156,Koregaon Park,3083,3,3,2004,Yes,3836468,21,1244.394421,No,No
157,Viman Nagar,2636,5,3,2003,Yes,5539185,22,2101.360015,No,Yes
158,Kalyani Nagar,961,4,3,1999,Yes,12814105,26,13334.13632,Yes,Yes
159,Koregaon Park,3060,1,2,1982,No,9520743,43,3111.353922,No,Yes
160,Pimpri-Chinchwad,3275,2,3,1996,Yes,8485018,29,2590.845191,No,Yes
161,Pimpri-Chinchwad,1567,1,1,2014,Yes,12556208,11,8012.89598,Yes,Yes
162,Koregaon Park,1225,2,3,2007,Yes,8529326,18,6962.715102,No,Yes
163,Kalyani Nagar,2275,5,3,2002,No,13933424,23,6124.581978,Yes,Yes
164,Koregaon Park,939,5,1,1993,No,14608929,32,15557.96486,Yes,Yes
165,Pimpri-Chinchwad,3410,1,3,1982,Yes,14428329,43,4231.181525,Yes,Yes
166,Hinjewadi,2932,1,2,2005,No,14212060,20,4847.223738,Yes,Yes
167,Viman Nagar,2958,1,2,2015,No,6068304,10,2051.488844,No,Yes
168,Pimpri-Chinchwad,1958,1,1,2016,Yes,12779939,9,6527.037283,Yes,Yes
169,Koregaon Park,914,5,2,2002,No,9106522,23,9963.371991,No,Yes
170,Viman Nagar,3037,4,3,1996,No,2300271,29,757.4155417,No,No
171,Koregaon Park,2266,2,2,2002,Yes,8808714,23,3887.340688,No,Yes
172,Koregaon Park,839,5,3,2022,Yes,12732020,3,15175.23242,Yes,Yes
173,Hinjewadi,909,3,3,2007,Yes,9673466,18,10641.87679,No,Yes
174,Viman Nagar,1336,4,2,1996,No,9480288,29,7096.023952,No,Yes
175,Viman Nagar,1432,1,1,2020,Yes,6703936,5,4681.519553,No,Yes
176,Hinjewadi,2597,1,2,2008,Yes,6125605,17,2358.723527,No,Yes
177,Pimpri-Chinchwad,2783,1,2,1991,No,11721322,34,4211.757815,Yes,Yes
178,Koregaon Park,1355,5,3,1994,No,4001832,31,2953.38155,No,No
179,Kalyani Nagar,2848,1,1,1998,Yes,9295537,27,3263.882374,No,Yes
180,Koregaon Park,2416,5,1,2002,Yes,3338726,23,1381.923013,No,No
181,Koregaon Park,1700,2,1,2020,No,5746867,5,3380.51,No,Yes
182,Pimpri-Chinchwad,2251,3,2,2007,No,4283337,18,1902.859618,No,No
183,Koregaon Park,2137,2,3,2006,Yes,13038835,19,6101.46701,Yes,Yes
184,Hinjewadi,1713,1,1,2009,No,7241378,16,4227.307647,No,Yes
185,Hinjewadi,1986,2,3,1999,No,6979192,26,3514.195368,No,Yes
186,Viman Nagar,2499,2,3,1992,No,2494222,33,998.0880352,No,No
187,Kalyani Nagar,801,3,2,1998,No,2937991,27,3667.90387,No,No
188,Koregaon Park,2826,4,3,1991,Yes,13435961,34,4754.409413,Yes,Yes
189,Koregaon Park,2101,3,2,1985,Yes,3831392,40,1823.603998,No,No
190,Pimpri-Chinchwad,1622,1,3,1990,Yes,5591953,35,3447.566584,No,Yes
191,Hinjewadi,1742,2,3,2002,No,7780226,23,4466.26062,No,Yes
192,Kalyani Nagar,2879,3,3,2002,Yes,2347220,23,815.2900313,No,No
193,Viman Nagar,1921,4,3,1997,No,4657608,28,2424.574701,No,No
194,Hinjewadi,1028,3,3,2014,No,4229392,11,4114.194553,No,No
195,Viman Nagar,1577,5,1,1997,No,7162992,28,4542.163602,No,Yes
196,Pimpri-Chinchwad,3318,4,2,2003,Yes,13560257,22,4086.876733,Yes,Yes
197,Pimpri-Chinchwad,1170,1,3,1980,No,14604032,45,12482.07863,Yes,Yes
198,Koregaon Park,901,3,3,1996,Yes,11584448,29,12857.32297,Yes,Yes
199,Kalyani Nagar,1001,4,3,2001,No,8352999,24,8344.654346,No,Yes
200,Viman Nagar,3366,3,2,1986,Yes,12986817,39,3858.234403,Yes,Yes
201,Hinjewadi,1615,1,1,2003,Yes,3405637,22,2108.75356,No,No
202,Pimpri-Chinchwad,3092,5,3,1990,Yes,7589669,35,2454.614812,No,Yes
203,Koregaon Park,1388,2,2,2015,No,4047955,10,2916.394092,No,No
204,Koregaon Park,2983,3,2,2006,No,9146370,19,3066.164935,No,Yes
205,Viman Nagar,1270,3,1,1998,No,6611290,27,5205.740157,No,Yes
206,Pimpri-Chinchwad,1923,3,3,1997,No,7217165,28,3753.075923,No,Yes
207,Kalyani Nagar,2854,2,2,1982,No,2545615,43,891.946391,No,No
208,Pimpri-Chinchwad,1577,5,2,1985,No,7664135,40,4859.9461,No,Yes
209,Viman Nagar,1195,3,3,2016,Yes,5925466,9,4958.548954,No,Yes
210,Viman Nagar,1278,5,3,1982,No,8474298,43,6630.906103,No,Yes
211,Pimpri-Chinchwad,1732,5,2,1990,Yes,9329762,35,5386.698614,No,Yes
212,Viman Nagar,953,1,1,2013,No,6283957,12,6593.868835,No,Yes
213,Pimpri-Chinchwad,804,4,3,1996,Yes,14483150,29,18013.86816,Yes,Yes
214,Hinjewadi,2510,3,1,2023,No,3644721,2,1452.08008,No,No
215,Pimpri-Chinchwad,1574,3,3,1986,No,2977865,39,1891.909149,No,No
216,Pimpri-Chinchwad,2115,5,1,2014,Yes,4528025,11,2140.910165,No,No
217,Viman Nagar,2246,4,3,2008,No,11697680,17,5208.227961,Yes,Yes
218,Viman Nagar,1053,3,3,2013,No,12730815,12,12090.04274,Yes,Yes
219,Koregaon Park,3203,2,3,2023,Yes,12684329,2,3960.140181,Yes,Yes
220,Koregaon Park,1888,3,2,2003,No,8931826,22,4730.840042,No,Yes
221,Hinjewadi,2849,5,2,2004,Yes,4901576,21,1720.454896,No,No
222,Koregaon Park,1378,1,2,1988,No,3524974,37,2558.036284,No,No
223,Pimpri-Chinchwad,902,1,3,1989,Yes,14854077,36,16467.93459,Yes,Yes
224,Viman Nagar,2093,3,1,1981,No,4939009,44,2359.774964,No,No
225,Koregaon Park,2842,2,1,2010,No,7047552,15,2479.786066,No,Yes
226,Koregaon Park,3096,3,2,1981,Yes,5360067,44,1731.287791,No,Yes
227,Hinjewadi,1144,2,1,1993,Yes,5608323,32,4902.380245,No,Yes
228,Hinjewadi,2820,1,1,2008,No,12663767,17,4490.697518,Yes,Yes
229,Pimpri-Chinchwad,3054,1,3,1983,No,3280906,42,1074.29797,No,No
230,Viman Nagar,2319,2,1,2010,Yes,6444029,15,2778.796464,No,Yes
231,Hinjewadi,1352,4,2,2008,No,12488796,17,9237.275148,Yes,Yes
232,Koregaon Park,2535,5,3,2006,No,11495755,19,4534.814596,Yes,Yes
233,Viman Nagar,1049,2,2,2013,Yes,8569142,12,8168.867493,No,Yes
234,Viman Nagar,3157,4,1,2016,Yes,10487614,9,3322.019005,Yes,Yes
235,Koregaon Park,2460,4,2,1999,No,3105239,26,1262.292276,No,No
236,Hinjewadi,2953,3,3,2016,Yes,5894303,9,1996.038943,No,Yes
237,Koregaon Park,2225,2,1,2002,Yes,10015758,23,4501.46427,Yes,Yes
238,Viman Nagar,3377,4,1,2021,Yes,6152245,4,1821.807818,No,Yes
239,Kalyani Nagar,2994,5,2,1989,Yes,6147970,36,2053.430194,No,Yes
240,Kalyani Nagar,1476,1,3,1999,No,2844437,26,1927.125339,No,No
241,Pimpri-Chinchwad,3328,3,2,1999,Yes,3719957,26,1117.775541,No,No
242,Koregaon Park,895,2,3,1991,Yes,12670856,34,14157.38101,Yes,Yes
243,Koregaon Park,888,2,1,2011,Yes,10171868,14,11454.80631,Yes,Yes
244,Pimpri-Chinchwad,1014,3,3,1993,Yes,8296091,32,8181.54931,No,Yes
245,Pimpri-Chinchwad,2996,5,3,2014,Yes,12868211,11,4295.130507,Yes,Yes
246,Pimpri-Chinchwad,3018,1,1,1990,Yes,11691143,35,3873.804838,Yes,Yes
247,Viman Nagar,2178,4,3,1999,No,5039148,26,2313.658402,No,Yes
248,Koregaon Park,1598,4,3,2011,No,4493385,14,2811.880476,No,No
249,Viman Nagar,2668,4,2,1991,No,3574372,34,1339.71964,No,No
250,Pimpri-Chinchwad,1033,3,2,2001,Yes,14256405,24,13800.97289,Yes,Yes
251,Koregaon Park,937,1,2,1990,No,8748209,35,9336.402348,No,Yes
252,Viman Nagar,1359,3,1,2017,Yes,3236796,8,2381.748344,No,No
253,Viman Nagar,3102,2,3,1998,Yes,13685130,27,4411.711799,Yes,Yes
254,Pimpri-Chinchwad,2655,4,1,1990,Yes,12820386,35,4828.770621,Yes,Yes
255,Koregaon Park,2190,2,2,2005,Yes,6107992,20,2789.037443,No,Yes
256,Pimpri-Chinchwad,2503,5,1,1995,No,13451144,30,5374.008789,Yes,Yes
257,Koregaon Park,1899,4,2,1983,No,2058785,42,1084.141654,No,No
258,Kalyani Nagar,1548,2,1,1984,No,14071552,41,9090.149871,Yes,Yes
259,Hinjewadi,1243,3,1,2022,Yes,10432094,3,8392.674175,Yes,Yes
260,Hinjewadi,2632,2,3,1996,No,2765599,29,1050.759498,No,No
261,Hinjewadi,2297,4,2,1997,No,8183759,28,3562.803222,No,Yes
262,Pimpri-Chinchwad,970,3,2,1985,Yes,12432203,40,12816.70412,Yes,Yes
263,Kalyani Nagar,2655,3,1,1996,No,2896215,29,1090.853107,No,No
264,Koregaon Park,2815,2,2,1983,No,10733545,42,3812.982238,Yes,Yes
265,Viman Nagar,2876,5,1,2019,No,6774382,6,2355.487483,No,Yes
266,Koregaon Park,1301,2,1,2008,No,12796514,17,9835.906226,Yes,Yes
267,Viman Nagar,3005,4,1,1991,Yes,7830373,34,2605.781364,No,Yes
268,Koregaon Park,1340,5,1,2021,No,12085830,4,9019.276119,Yes,Yes
269,Kalyani Nagar,1274,5,1,2009,Yes,2356855,16,1849.964678,No,No
270,Viman Nagar,1006,3,3,1991,No,12205456,34,12132.66004,Yes,Yes
271,Pimpri-Chinchwad,2307,2,3,1993,No,10797712,32,4680.412657,Yes,Yes
272,Koregaon Park,1147,2,3,2017,No,2874037,8,2505.699215,No,No
273,Koregaon Park,2287,1,2,1991,No,13598114,34,5945.830345,Yes,Yes
274,Viman Nagar,2270,1,2,2012,Yes,12170502,13,5361.454626,Yes,Yes
275,Pimpri-Chinchwad,1707,4,3,2022,Yes,7779748,3,4557.555946,No,Yes
276,Pimpri-Chinchwad,2744,2,3,2004,Yes,8938200,21,3257.361516,No,Yes
277,Kalyani Nagar,1959,2,2,2013,No,9116429,12,4653.613578,No,Yes
278,Pimpri-Chinchwad,2591,1,3,1994,Yes,9157598,31,3534.387495,No,Yes
279,Pimpri-Chinchwad,3223,5,2,1990,No,7592543,35,2355.737822,No,Yes
280,Pimpri-Chinchwad,3344,5,1,2018,No,7009252,7,2096.068182,No,Yes
281,Hinjewadi,1151,3,3,2013,No,11272875,12,9793.983493,Yes,Yes
282,Kalyani Nagar,2935,3,3,2022,Yes,3739784,3,1274.202385,No,No
283,Koregaon Park,3236,4,1,2007,No,9446306,18,2919.130408,No,Yes
284,Viman Nagar,1970,2,3,1998,No,7730907,27,3924.318274,No,Yes
285,Koregaon Park,2928,4,1,2021,No,5604489,4,1914.101434,No,Yes
286,Kalyani Nagar,1979,2,2,2020,Yes,9659795,5,4881.14957,No,Yes
287,Viman Nagar,2103,3,2,1987,Yes,9081882,38,4318.536377,No,Yes
288,Kalyani Nagar,3051,2,3,2006,Yes,14356491,19,4705.503441,Yes,Yes
289,Pimpri-Chinchwad,2622,4,2,2011,Yes,2639231,14,1006.571701,No,No
290,Viman Nagar,1766,3,1,2002,No,12073539,23,6836.65855,Yes,Yes
291,Pimpri-Chinchwad,2722,3,3,2002,No,5789202,23,2126.819251,No,Yes
292,Koregaon Park,3051,5,3,1991,No,8030372,34,2632.045887,No,Yes
293,Koregaon Park,1273,3,2,1994,No,5812780,31,4566.205813,No,Yes
294,Viman Nagar,1543,4,1,1994,No,2756734,31,1786.60661,No,No
295,Viman Nagar,2594,2,1,2002,No,7282156,23,2807.307633,No,Yes
296,Kalyani Nagar,2766,5,1,1984,No,14415794,41,5211.783803,Yes,Yes
297,Kalyani Nagar,2196,4,3,2004,No,12189342,21,5550.702186,Yes,Yes
298,Pimpri-Chinchwad,965,2,3,2023,Yes,14651071,2,15182.45699,Yes,Yes
299,Viman Nagar,1596,1,1,2017,Yes,7740686,8,4850.053885,No,Yes
300,Koregaon Park,2055,1,2,1981,Yes,4183439,44,2035.73674,No,No
301,Kalyani Nagar,2955,5,2,1986,Yes,11033369,39,3733.796616,Yes,Yes
302,Kalyani Nagar,2636,5,3,2006,Yes,2418330,19,917.4241275,No,No
303,Koregaon Park,1232,3,3,1996,Yes,10231584,29,8304.857143,Yes,Yes
304,Kalyani Nagar,1020,4,2,1987,Yes,10562763,38,10355.65,Yes,Yes
305,Pimpri-Chinchwad,1306,2,2,2009,No,2266619,16,1735.542879,No,No
306,Viman Nagar,1788,1,3,1988,No,6647361,37,3717.763423,No,Yes
307,Koregaon Park,2553,1,3,1980,No,10832566,45,4243.073247,Yes,Yes
308,Viman Nagar,1157,5,1,1993,Yes,14540103,32,12567.0726,Yes,Yes
309,Kalyani Nagar,3385,4,3,1990,No,12003981,35,3546.22777,Yes,Yes
310,Kalyani Nagar,1545,5,1,2011,No,9470418,14,6129.720388,No,Yes
311,Koregaon Park,1414,4,2,2016,No,2097962,9,1483.707214,No,No
312,Pimpri-Chinchwad,923,1,2,2007,No,9284345,18,10058.87866,No,Yes
313,Hinjewadi,2107,4,1,2005,Yes,8351270,20,3963.583294,No,Yes
314,Koregaon Park,949,5,1,1985,No,2568841,40,2706.892518,No,No
315,Hinjewadi,3231,3,2,1981,Yes,12184896,44,3771.246054,Yes,Yes
316,Hinjewadi,1723,4,2,1980,No,3271947,45,1898.982589,No,No
317,Pimpri-Chinchwad,1259,3,1,2021,No,11738681,4,9323.813344,Yes,Yes
318,Hinjewadi,2226,1,3,1986,Yes,10148938,39,4559.271339,Yes,Yes
319,Hinjewadi,1907,3,2,2012,No,12654457,13,6635.792868,Yes,Yes
320,Pimpri-Chinchwad,1413,4,1,2021,No,5125916,4,3627.682944,No,Yes
321,Hinjewadi,1265,5,1,2008,No,4844262,17,3829.456126,No,No
322,Hinjewadi,3236,5,1,2003,Yes,5481252,22,1693.8356,No,Yes
323,Hinjewadi,2151,2,1,1985,No,6831340,40,3175.890284,No,Yes
324,Koregaon Park,1354,1,1,1986,No,9492322,39,7010.577548,No,Yes
325,Koregaon Park,2542,5,1,1983,No,5402529,42,2125.306452,No,Yes
326,Koregaon Park,2948,5,3,1996,Yes,12922944,29,4383.630936,Yes,Yes
327,Pimpri-Chinchwad,2477,1,1,2005,No,9860511,20,3980.828018,No,Yes
